legacy_node_id,legacy_node_type,legacy_name,action,target_ids,target_types,reason,review_status
scent_concept:蒸稻米,ScentConcept,蒸稻米,quarantine_untyped_scent_concept,,,Concept is neither an approved ScentIdentity nor a typed NoteIngredient.,pending_review
scent_concept:薄荷,ScentConcept,薄荷,replace_with_note_ingredient,note:薄荷,NoteIngredient,"Legacy ScentConcept is an olfactory note, not a reusable scent identity.",approved
scent_concept:蜂蜜,ScentConcept,蜂蜜,replace_with_note_ingredient,note:蜂蜜,NoteIngredient,"Legacy ScentConcept is an olfactory note, not a reusable scent identity.",approved
scent_concept:蜂蜡,ScentConcept,蜂蜡,replace_with_note_ingredient,note:蜂蜡,NoteIngredient,"Legacy ScentConcept is an olfactory note, not a reusable scent identity.",approved
scent_concept:覆盆子,ScentConcept,覆盆子,replace_with_note_ingredient,note:覆盆子,NoteIngredient,"Legacy ScentConcept is an olfactory note, not a reusable scent identity.",approved
scent_concept:迷迭香,ScentConcept,迷迭香,replace_with_note_ingredient,note:迷迭香,NoteIngredient,"Legacy ScentConcept is an olfactory note, not a reusable scent identity.",approved
scent_concept:金银花,ScentConcept,金银花,replace_with_note_ingredient,note:金银花,NoteIngredient,"Legacy ScentConcept is an olfactory note, not a reusable scent identity.",approved
scent_concept:金黄木质,ScentConcept,金黄木质,quarantine_untyped_scent_concept,,,Concept is neither an approved ScentIdentity nor a typed NoteIngredient.,pending_review
scent_concept:阿拉比卡咖啡,ScentConcept,阿拉比卡咖啡,replace_with_note_ingredient,note:阿拉比卡咖啡,NoteIngredient,"Legacy ScentConcept is an olfactory note, not a reusable scent identity.",approved
scent_concept:雪松,ScentConcept,雪松,replace_with_note_ingredient,note:雪松,NoteIngredient,"Legacy ScentConcept is an olfactory note, not a reusable scent identity.",approved
scent_concept:零陵香豆,ScentConcept,零陵香豆,replace_with_note_ingredient,note:零陵香豆,NoteIngredient,"Legacy ScentConcept is an olfactory note, not a reusable scent identity.",approved
scent_concept:青柑,ScentConcept,青柑,replace_with_note_ingredient,note:青柑,NoteIngredient,"Legacy ScentConcept is an olfactory note, not a reusable scent identity.",approved
scent_concept:青橘,ScentConcept,青橘,replace_with_note_ingredient,note:青橘,NoteIngredient,"Legacy ScentConcept is an olfactory note, not a reusable scent identity.",approved
scent_concept:香根草,ScentConcept,香根草,replace_with_note_ingredient,note:香根草,NoteIngredient,"Legacy ScentConcept is an olfactory note, not a reusable scent identity.",approved
scent_concept:香桃木,ScentConcept,香桃木,replace_with_note_ingredient,note:香桃木,NoteIngredient,"Legacy ScentConcept is an olfactory note, not a reusable scent identity.",approved
scent_concept:香芹籽,ScentConcept,香芹籽,replace_with_note_ingredient,note:香芹籽,NoteIngredient,"Legacy ScentConcept is an olfactory note, not a reusable scent identity.",approved
scent_concept:香草,ScentConcept,香草,replace_with_note_ingredient,note:香草,NoteIngredient,"Legacy ScentConcept is an olfactory note, not a reusable scent identity.",approved
scent_concept:香菜,ScentConcept,香菜,replace_with_note_ingredient,note:香菜,NoteIngredient,"Legacy ScentConcept is an olfactory note, not a reusable scent identity.",approved
scent_concept:香豆,ScentConcept,香豆,replace_with_note_ingredient,note:香豆,NoteIngredient,"Legacy ScentConcept is an olfactory note, not a reusable scent identity.",approved
scent_concept:马黛茶,ScentConcept,马黛茶,replace_with_note_ingredient,note:马黛茶,NoteIngredient,"Legacy ScentConcept is an olfactory note, not a reusable scent identity.",approved
scent_concept:鸢尾,ScentConcept,鸢尾,replace_with_note_ingredient,note:鸢尾,NoteIngredient,"Legacy ScentConcept is an olfactory note, not a reusable scent identity.",approved
scent_concept:麝香,ScentConcept,麝香,replace_with_note_ingredient,note:麝香,NoteIngredient,"Legacy ScentConcept is an olfactory note, not a reusable scent identity.",approved
scent_concept:麦麸,ScentConcept,麦麸,quarantine_untyped_scent_concept,,,Concept is neither an approved ScentIdentity nor a typed NoteIngredient.,pending_review
scent_concept:黄葵,ScentConcept,黄葵,replace_with_note_ingredient,note:黄葵,NoteIngredient,"Legacy ScentConcept is an olfactory note, not a reusable scent identity.",approved
scent_concept:黄葵籽,ScentConcept,黄葵籽,replace_with_note_ingredient,note:黄葵籽,NoteIngredient,"Legacy ScentConcept is an olfactory note, not a reusable scent identity.",approved
scent_concept:黑胡椒,ScentConcept,黑胡椒,replace_with_note_ingredient,note:黑胡椒,NoteIngredient,"Legacy ScentConcept is an olfactory note, not a reusable scent identity.",approved
scent_concept:黑醋栗叶,ScentConcept,黑醋栗叶,replace_with_note_ingredient,note:黑醋栗叶,NoteIngredient,"Legacy ScentConcept is an olfactory note, not a reusable scent identity.",approved
scent_concept:黑醋栗花蕾,ScentConcept,黑醋栗花蕾,replace_with_note_ingredient,note:黑醋栗花蕾,NoteIngredient,"Legacy ScentConcept is an olfactory note, not a reusable scent identity.",approved
scent_concept:鼠尾草,ScentConcept,鼠尾草,replace_with_note_ingredient,note:鼠尾草,NoteIngredient,"Legacy ScentConcept is an olfactory note, not a reusable scent identity.",approved
scent_concept:龙涎香,ScentConcept,龙涎香,replace_with_note_ingredient,note:龙涎香,NoteIngredient,"Legacy ScentConcept is an olfactory note, not a reusable scent identity.",approved
