legacy_source,legacy_target,legacy_edge_type,legacy_source_type,legacy_target_type,action,new_source,new_target,new_predicate,reason
note_family:草本绿香,note:菖蒲,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:草本绿香,note:薄荷,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:草本绿香,note:迷迭香,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:草本绿香,note:黑醋栗叶,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:草本绿香,note:鼠尾草,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:辛香,note:丁香,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:辛香,note:姜,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:辛香,note:小茴香,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:辛香,note:小豆蔻,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:辛香,note:生姜,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:辛香,note:粉红胡椒,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:辛香,note:肉桂,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:辛香,note:肉豆蔻,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:辛香,note:香芹籽,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:辛香,note:香菜,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:辛香,note:黑胡椒,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:麝香粉香,note:白麝香,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:麝香粉香,note:麝香,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
note_family:麝香粉香,note:黄葵籽,HAS_NOTE,NoteFamily,NoteIngredient,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
domain:香调,note_family:木质,HAS_NOTE_FAMILY,OntologyDomain,NoteFamily,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
domain:香调,note_family:果香,HAS_NOTE_FAMILY,OntologyDomain,NoteFamily,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
domain:香调,note_family:柑橘,HAS_NOTE_FAMILY,OntologyDomain,NoteFamily,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
domain:香调,note_family:树脂琥珀,HAS_NOTE_FAMILY,OntologyDomain,NoteFamily,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
domain:香调,note_family:海洋矿物,HAS_NOTE_FAMILY,OntologyDomain,NoteFamily,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
domain:香调,note_family:花香,HAS_NOTE_FAMILY,OntologyDomain,NoteFamily,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
domain:香调,note_family:茶香美食,HAS_NOTE_FAMILY,OntologyDomain,NoteFamily,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
domain:香调,note_family:草本绿香,HAS_NOTE_FAMILY,OntologyDomain,NoteFamily,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
domain:香调,note_family:辛香,HAS_NOTE_FAMILY,OntologyDomain,NoteFamily,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
domain:香调,note_family:麝香粉香,HAS_NOTE_FAMILY,OntologyDomain,NoteFamily,retain_navigation_only,,,,Legacy note-family taxonomy may remain outside the Schema v1 fact import.
collection:含羞草,product:CANDLEMI::迷你香氛蜡烛含羞草,HAS_PRODUCT,CollectionOrScent,Product,replace_and_reverse,product:CANDLEMI:5d50d29e1e,scent:home:71ed7bd5bfc3,HAS_SCENT,Approved ProductConcept -> ScentIdentity fact replaces legacy collection parent edge.
collection:含羞草,product:CANDLEMI::香氛蜡烛含羞草,HAS_PRODUCT,CollectionOrScent,Product,replace_and_reverse,product:CANDLEMI:0fc9a46126,scent:home:71ed7bd5bfc3,HAS_SCENT,Approved ProductConcept -> ScentIdentity fact replaces legacy collection parent edge.
collection:含羞草,product:CAPSULES7::含羞草扩香器香氛补充包,HAS_PRODUCT,CollectionOrScent,Product,replace_and_reverse,product:CAPSULES7,scent:home:71ed7bd5bfc3,HAS_SCENT,Approved ProductConcept -> ScentIdentity fact replaces legacy collection parent edge.
collection:含羞草,product:HOMECARDIF5::含羞草车载扩香器香氛套装,HAS_PRODUCT,CollectionOrScent,Product,replace_and_reverse,product:HOMECARDIF5,scent:home:71ed7bd5bfc3,HAS_SCENT,Approved ProductConcept -> ScentIdentity fact replaces legacy collection parent edge.
collection:含羞草,product:HOMEHGFOCARB2N::含羞草室内扩香摆件补充装,HAS_PRODUCT,CollectionOrScent,Product,replace_and_reverse,product:HOMEHGFOCARB2N,scent:home:71ed7bd5bfc3,HAS_SCENT,Approved ProductConcept -> ScentIdentity fact replaces legacy collection parent edge.
collection:含羞草,product:HOMERSP3::含羞草室内喷雾,HAS_PRODUCT,CollectionOrScent,Product,replace_and_reverse,product:HOMERSP3,scent:home:71ed7bd5bfc3,HAS_SCENT,Approved ProductConcept -> ScentIdentity fact replaces legacy collection parent edge.
collection:含羞草,product:HOMERSP9::含羞草扩香精,HAS_PRODUCT,CollectionOrScent,Product,replace_and_reverse,product:HOMERSP9,scent:home:71ed7bd5bfc3,HAS_SCENT,Approved ProductConcept -> ScentIdentity fact replaces legacy collection parent edge.
collection:含羞草,product:SOLIDPERFUME2::含羞草扩香精补充瓶,HAS_PRODUCT,CollectionOrScent,Product,replace_and_reverse,product:SOLIDPERFUME2,scent:home:71ed7bd5bfc3,HAS_SCENT,Approved ProductConcept -> ScentIdentity fact replaces legacy collection parent edge.
collection:圣日尔曼大道34号,product:CANDLE34B1500::超大号香氛蜡烛圣日尔曼大道34号,HAS_PRODUCT,CollectionOrScent,Product,replace_and_reverse,product:CANDLE34B1500,scent:home:d1bf12d71e9b,HAS_SCENT,Approved ProductConcept -> ScentIdentity fact replaces legacy collection parent edge.
collection:圣日尔曼大道34号,product:CANDLE34B300::中号香氛蜡烛圣日尔曼大道34号,HAS_PRODUCT,CollectionOrScent,Product,replace_and_reverse,product:CANDLE34B300,scent:home:d1bf12d71e9b,HAS_SCENT,Approved ProductConcept -> ScentIdentity fact replaces legacy collection parent edge.
collection:圣日尔曼大道34号,product:CANDLE34B600::大号香氛蜡烛圣日尔曼大道34号,HAS_PRODUCT,CollectionOrScent,Product,replace_and_reverse,product:CANDLE34B600,scent:home:d1bf12d71e9b,HAS_SCENT,Approved ProductConcept -> ScentIdentity fact replaces legacy collection parent edge.
collection:圣日尔曼大道34号,product:CAPSULES1::圣日尔曼大道34号扩香器香氛补充包,HAS_PRODUCT,CollectionOrScent,Product,replace_and_reverse,product:CAPSULES1,scent:home:d1bf12d71e9b,HAS_SCENT,Approved ProductConcept -> ScentIdentity fact replaces legacy collection parent edge.
collection:圣日尔曼大道34号,product:EDP34BEDP75::圣日尔曼大道34号淡香精,HAS_PRODUCT,CollectionOrScent,Product,replace_and_reverse,product:EDP34BEDP75,scent:signature:e64ef421b4b7,HAS_SCENT,Approved ProductConcept -> ScentIdentity fact replaces legacy collection parent edge.
collection:圣日尔曼大道34号,product:EDT34B::圣日尔曼大道34号淡香水,HAS_PRODUCT,CollectionOrScent,Product,replace_and_reverse,product:EDT34B,scent:signature:e64ef421b4b7,HAS_SCENT,Approved ProductConcept -> ScentIdentity fact replaces legacy collection parent edge.
collection:圣日尔曼大道34号,product:HOMECARDIF1::圣日尔曼大道34号车载扩香器香氛套装,HAS_PRODUCT,CollectionOrScent,Product,replace_and_reverse,product:HOMECARDIF1,scent:home:d1bf12d71e9b,HAS_SCENT,Approved ProductConcept -> ScentIdentity fact replaces legacy collection parent edge.
collection:圣日尔曼大道34号,product:HOMEHGFOCARB2A::圣日尔曼大道34号扩香精,HAS_PRODUCT,CollectionOrScent,Product,replace_and_reverse,product:HOMEHGFOCARB2A,scent:home:d1bf12d71e9b,HAS_SCENT,Approved ProductConcept -> ScentIdentity fact replaces legacy collection parent edge.
collection:圣日尔曼大道34号,product:HOMEHGFOCARB2G::圣日尔曼大道34号香氛皂,HAS_PRODUCT,CollectionOrScent,Product,replace_and_reverse,product:HOMEHGFOCARB2G,scent:signature:e64ef421b4b7,HAS_SCENT,Approved ProductConcept -> ScentIdentity fact replaces legacy collection parent edge.
collection:圣日尔曼大道34号,product:HOMEHGFOCARB2I::圣日尔曼大道34号扩香精补充瓶,HAS_PRODUCT,CollectionOrScent,Product,replace_and_reverse,product:HOMEHGFOCARB2I,scent:home:d1bf12d71e9b,HAS_SCENT,Approved ProductConcept -> ScentIdentity fact replaces legacy collection parent edge.
collection:圣日尔曼大道34号,product:HOMEREEDREFILL200A::圣日尔曼大道34号室内扩香摆件补充装,HAS_PRODUCT,CollectionOrScent,Product,replace_and_reverse,product:HOMEREEDREFILL200A,scent:home:d1bf12d71e9b,HAS_SCENT,Approved ProductConcept -> ScentIdentity fact replaces legacy collection parent edge.
collection:圣日尔曼大道34号,product:HOMEREEDREFILL2L3::圣日尔曼大道34号室内扩香摆件补充瓶,HAS_PRODUCT,CollectionOrScent,Product,replace_and_reverse,product:HOMEREEDREFILL2L3,scent:home:d1bf12d71e9b,HAS_SCENT,Approved ProductConcept -> ScentIdentity fact replaces legacy collection parent edge.
collection:圣日尔曼大道34号,product:HOMERSP1::圣日尔曼大道34号室内喷雾,HAS_PRODUCT,CollectionOrScent,Product,replace_and_reverse,product:HOMERSP1,scent:home:d1bf12d71e9b,HAS_SCENT,Approved ProductConcept -> ScentIdentity fact replaces legacy collection parent edge.
collection:圣日尔曼大道34号,product:HOMESCO1::圣日尔曼大道34号室内香氛蜡,HAS_PRODUCT,CollectionOrScent,Product,replace_and_reverse,product:HOMESCO1,scent:home:d1bf12d71e9b,HAS_SCENT,Approved ProductConcept -> ScentIdentity fact replaces legacy collection parent edge.
collection:大千之蕴,product:EDPBOISCOR100::暖木之息淡香精,HAS_PRODUCT,CollectionOrScent,Product,retire_collection_umbrella_edge,,,,"大千之蕴 is a collection umbrella, not a ScentIdentity."
collection:大千之蕴,product:EDPCOFPARFPMINI::大千之蕴淡香精系列体验套装,HAS_PRODUCT,CollectionOrScent,Product,retire_collection_umbrella_edge,,,,"大千之蕴 is a collection umbrella, not a ScentIdentity."
